菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_012,沙门菌,肉鸡,盲肠,无,512.00,8.00,64,0.5,32,4,2,<0.06/1.2,0.5,1,<0.03,8,16,4,1/0.5,16
demo_013,沙门菌,肉鸡,盲肠,无,512.00,0.25,128.00,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,32,8,0.50,64/32,>512
demo_014,沙门菌,肉鸡,盲肠,无,512.00,0.50,1,<=0.25,16,4,2,0.12/2.4,0.12,0.5,<=0.03,8,8,2,0.5/0.25,16
demo_015,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,1,0.5,16,128,2,0.25/4.8,0.5,1,<0.03,8,8,4,16/8,>512
demo_016,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,0.5,1,128,128,4,>32/608,0.25,1,<0.03,16,8,4,8/4,>512
demo_017,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,0.50,0.50,16.00,2.00,2.00,0.25/4.8,0.25,1.00,<0.03,8,8,2.00,8/16,>512
demo_018,沙门菌,蛋鸡,肛拭子,无,512.00,1.00,1.00,0.50,32.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,8,4.00,1/0.5,16.00
demo_019,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,0.50,0.50,64.00,8.00,2.00,0.25/4.8,0.25,1.00,<0.03,8,4,4.00,8/16,>512
demo_020,沙门菌,蛋鸡,肛拭子,无,512.00,0.25,0.50,1.00,>128,16.00,4.00,>32/608,16.00,32.00,<0.03,64,8,>256,8/16,>512
demo_021,沙门菌,蛋鸡,肛拭子,无,512.00,<0.12,0.50,0.50,16.00,2.00,4.00,0.25/4.8,0.25,0.50,<0.03,8,8,2.00,8/16,>512
demo_022,沙门菌,蛋鸡,肛拭子,无,512.00,16.00,32.00,0.50,128.00,2.00,2.00,>32/608,0.25,0.50,<0.03,8,8,4.00,8/4,16.00
demo_023,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,1.00,0.5,16.00,2,4,0.12/2.4,0.25,0.5,<=0.03,4,8,4,0.5/0.25,16
demo_024,沙门菌,蛋鸡,肛拭子,无,512.00,2.00,128.00,0.5,32.00,2,2,<0.06/1.2,0.25,1,<0.03,8,8,4,1/0.5,16
demo_025,沙门菌,蛋鸡,肛拭子,无,4.00,1.00,2,0.5,32.00,2,2,<0.06/1.2,8,8,<0.25,8,64,8,1/0.5,16
demo_026,沙门菌,肉鸡,肛拭子,无,4.00,0.50,2,1.00,16.00,4.00,4.00,0.25/4.8,0.50,0.50,<0.03,8,8,2.00,8/16,>512
demo_027,沙门菌,肉鸡,肛拭子,无,4.00,1.00,1.00,8.00,>128,32.00,>256,>32/608,32.00,8.00,<0.03,32,>64,>256,8/16,>512
demo_028,沙门菌,肉鸡,肛拭子,无,2.00,1.00,1,1,16,128,2,0.25/4.8,0.5,2,<0.03,8,8,0.5,1/0.5,>512
demo_029,沙门菌,肉鸡,肛拭子,无,2.00,1.00,1,1,32.00,64,4,>32/608,0.5,2,<0.03,8,4,0.5,1/0.5,512
demo_030,沙门菌,肉鸡,肛拭子,无,2.00,1.00,1,0.5,16.00,64,2,>32/608,0.5,2,<0.03,4,8,0.5,0.5/0.25,32
demo_031,沙门菌,肉鸡,肛拭子,无,2.00,1.00,0.5,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,16,16,0.50,8/16,>512
demo_032,沙门菌,肉鸡,肛拭子,无,2.00,32.00,8.00,4.00,>128,128.00,>256,>32/608,16.00,32.00,<0.03,64,>64,4.00,8/4,>512
demo_033,沙门菌,肉鸡,肛拭子,无,2.00,0.50,0.5,>512,1,>512,8,0.5/9.5,>32,64,<=0.03,8,8,0.5,2/1,16
demo_034,沙门菌,猪,肛拭子,无,2.00,1.00,1,0.5,16,2,4,<0.06/1.2,0.5,2,<0.03,8,8,2,1/0.5,16
